       Cdx2           Gata6           Nanog        Pou5f1 (Oct4)
   1.9160000e+01   1.9470000e+01   2.0590000e+01   1.9370000e+01
   2.8000000e+01   1.8570000e+01   1.7510000e+01   1.7900000e+01
   2.0070000e+01   2.0620000e+01   2.3730000e+01   2.0000000e+01
   1.9550000e+01   2.0740000e+01   2.1790000e+01   1.9610000e+01
   2.3930000e+01   1.8890000e+01   1.7470000e+01   1.7910000e+01
   2.2500000e+01   1.7740000e+01   1.9090000e+01   1.7460000e+01
   2.0390000e+01   1.9800000e+01   2.1370000e+01   1.9790000e+01
   2.2530000e+01   1.8680000e+01   1.7700000e+01   1.7560000e+01
   2.3360000e+01   2.1050000e+01   1.7190000e+01   1.7770000e+01
   2.1600000e+01   1.8500000e+01   2.1650000e+01   1.8190000e+01
   2.0440000e+01   1.9780000e+01   2.1120000e+01   2.1160000e+01
   1.9830000e+01   1.8680000e+01   2.0650000e+01   1.9810000e+01
   2.3020000e+01   1.7910000e+01   2.2200000e+01   1.8390000e+01
   1.8490000e+01   1.9250000e+01   2.0830000e+01   1.9570000e+01
   2.8000000e+01   1.6980000e+01   1.7540000e+01   1.8440000e+01
   2.2500000e+01   1.8080000e+01   1.9250000e+01   1.9120000e+01
   2.1680000e+01   1.7190000e+01   2.0890000e+01   1.8850000e+01
   2.1870000e+01   2.0180000e+01   1.7790000e+01   1.9180000e+01
   2.4720000e+01   1.7820000e+01   2.1810000e+01   1.9140000e+01
   2.2460000e+01   1.8780000e+01   1.9320000e+01   1.8890000e+01
   2.2370000e+01   1.8130000e+01   1.9320000e+01   1.8880000e+01
   1.9190000e+01   1.8170000e+01   1.7630000e+01   1.9240000e+01
   2.0990000e+01   1.9790000e+01   1.9970000e+01   2.0110000e+01
   1.9130000e+01   2.0750000e+01   1.9020000e+01   2.0270000e+01
   2.2670000e+01   1.7720000e+01   1.7430000e+01   1.8980000e+01
   2.4500000e+01   2.3810000e+01   1.9830000e+01   2.0080000e+01
   1.9700000e+01   1.9600000e+01   2.1240000e+01   2.0080000e+01
   2.0290000e+01   1.8170000e+01   1.7640000e+01   1.8970000e+01
   2.3180000e+01   1.9090000e+01   1.7300000e+01   1.9520000e+01
   2.0420000e+01   1.9610000e+01   1.7380000e+01   1.9620000e+01
   1.9970000e+01   2.0630000e+01   2.2350000e+01   1.9810000e+01
   2.6140000e+01   1.8940000e+01   1.9010000e+01   1.9420000e+01
   2.0010000e+01   2.0800000e+01   2.0520000e+01   2.0160000e+01
   2.3150000e+01   2.0840000e+01   2.0170000e+01   1.9630000e+01
   2.1700000e+01   1.8010000e+01   1.7420000e+01   1.8630000e+01
   2.3610000e+01   2.0460000e+01   1.6990000e+01   1.8700000e+01
   2.2830000e+01   1.8450000e+01   1.7460000e+01   1.9080000e+01
   1.9440000e+01   1.9900000e+01   2.3700000e+01   1.9830000e+01
   1.8780000e+01   1.8360000e+01   2.2740000e+01   1.9100000e+01
   1.8510000e+01   1.8630000e+01   2.5710000e+01   1.9050000e+01
   1.8730000e+01   1.9220000e+01   1.8980000e+01   1.9660000e+01
   2.0750000e+01   2.0790000e+01   2.1210000e+01   2.1700000e+01
   2.1800000e+01   1.8010000e+01   1.8370000e+01   1.9640000e+01
   2.4410000e+01   1.8770000e+01   1.8530000e+01   1.9540000e+01
   2.4230000e+01   1.7410000e+01   1.8040000e+01   1.9220000e+01
   1.8210000e+01   1.9130000e+01   2.0480000e+01   1.8060000e+01
   1.9490000e+01   1.9580000e+01   2.6300000e+01   1.8890000e+01
   2.2720000e+01   1.8940000e+01   1.7530000e+01   1.7830000e+01
   2.3280000e+01   1.7550000e+01   2.1650000e+01   1.8340000e+01
   2.1660000e+01   1.8860000e+01   2.1090000e+01   1.8610000e+01
   2.2510000e+01   1.8450000e+01   1.6770000e+01   1.7530000e+01
   1.9500000e+01   2.0430000e+01   2.2120000e+01   1.9120000e+01
   1.8000000e+01   2.0560000e+01   2.3030000e+01   1.8810000e+01
   1.8540000e+01   1.9280000e+01   2.0810000e+01   1.8380000e+01
   2.1630000e+01   1.8270000e+01   1.7090000e+01   1.7520000e+01
   2.0120000e+01   1.8670000e+01   2.3890000e+01   1.8380000e+01
   1.8580000e+01   2.0300000e+01   2.0670000e+01   1.9430000e+01
   2.2080000e+01   1.7790000e+01   1.8420000e+01   1.8810000e+01
   2.3400000e+01   1.7020000e+01   1.7370000e+01   1.7920000e+01
   2.3650000e+01   1.7920000e+01   2.4280000e+01   1.8120000e+01
   1.9050000e+01   2.0970000e+01   2.4150000e+01   2.0500000e+01
   1.8740000e+01   2.0710000e+01   2.0680000e+01   2.0390000e+01
   1.8720000e+01   1.9190000e+01   1.8820000e+01   1.8980000e+01
   2.3430000e+01   1.9590000e+01   1.8160000e+01   1.8390000e+01
   2.2380000e+01   1.7390000e+01   2.1800000e+01   1.8690000e+01
   2.2250000e+01   1.8480000e+01   1.6780000e+01   1.7250000e+01
   1.9140000e+01   1.9270000e+01   2.6970000e+01   2.0070000e+01
   2.2560000e+01   1.8480000e+01   1.8100000e+01   1.8540000e+01
   1.9850000e+01   1.8210000e+01   2.3840000e+01   1.8930000e+01
   1.9830000e+01   1.7800000e+01   2.1390000e+01   1.9700000e+01
   2.5710000e+01   1.7930000e+01   2.3210000e+01   1.8470000e+01
   1.8720000e+01   1.9790000e+01   2.0060000e+01   1.8760000e+01
   2.3600000e+01   1.9950000e+01   2.2290000e+01   1.8710000e+01
   2.0340000e+01   2.0670000e+01   2.8000000e+01   2.0080000e+01
   2.0020000e+01   2.0650000e+01   2.2490000e+01   1.9670000e+01
   2.8000000e+01   1.8460000e+01   2.0960000e+01   1.8030000e+01
   1.9280000e+01   2.0490000e+01   1.9740000e+01   1.9890000e+01
   2.3260000e+01   1.9040000e+01   2.2690000e+01   2.0980000e+01
   2.0080000e+01   2.2060000e+01   2.0080000e+01   2.0480000e+01
   2.2540000e+01   1.9800000e+01   2.0280000e+01   1.9370000e+01
   1.9020000e+01   1.9320000e+01   2.1580000e+01   2.0040000e+01
   1.8690000e+01   1.8960000e+01   1.8850000e+01   1.9670000e+01
   1.9570000e+01   2.0580000e+01   2.8000000e+01   1.9690000e+01
   1.9110000e+01   1.7990000e+01   2.2610000e+01   2.1050000e+01
   2.0010000e+01   1.9040000e+01   1.9310000e+01   2.0580000e+01
   1.9220000e+01   2.1710000e+01   2.1950000e+01   2.0350000e+01
   2.2960000e+01   1.8160000e+01   1.8240000e+01   1.8970000e+01
   1.9800000e+01   2.1510000e+01   2.0580000e+01   2.0880000e+01
   1.9340000e+01   2.0330000e+01   2.8000000e+01   2.0470000e+01
   1.9000000e+01   1.9400000e+01   2.1600000e+01   2.0680000e+01
   1.9570000e+01   2.1030000e+01   2.1940000e+01   2.0320000e+01
   2.2965000e+01   1.7605000e+01   1.7115000e+01   1.6940000e+01
   1.9020000e+01   1.7515000e+01   1.7945000e+01   1.7200000e+01
   1.9630000e+01   2.0715000e+01   2.0745000e+01   1.8905000e+01
   2.1580000e+01   2.0465000e+01   2.0790000e+01   1.9130000e+01
   2.1115000e+01   1.9230000e+01   1.9465000e+01   1.8420000e+01
   1.9310000e+01   1.8935000e+01   1.9245000e+01   1.8830000e+01
   2.0325000e+01   1.9440000e+01   1.9475000e+01   1.8945000e+01
   2.0080000e+01   2.0250000e+01   1.9060000e+01   1.9945000e+01
   1.9685000e+01   2.0040000e+01   2.1450000e+01   1.8850000e+01
   2.0535000e+01   2.1860000e+01   1.9985000e+01   1.8415000e+01
   2.0180000e+01   2.1145000e+01   2.2625000e+01   2.0275000e+01
   1.9655000e+01   2.1175000e+01   2.1500000e+01   1.9630000e+01
   2.1655000e+01   1.8760000e+01   2.1725000e+01   1.8525000e+01
   2.0735000e+01   2.2065000e+01   2.1015000e+01   1.8675000e+01
   2.1655000e+01   2.3155000e+01   1.9010000e+01   1.8220000e+01
   1.9800000e+01   2.0660000e+01   2.8000000e+01   1.9415000e+01
   2.0670000e+01   2.0060000e+01   2.0705000e+01   1.9735000e+01
   2.0580000e+01   2.1455000e+01   2.2210000e+01   2.0720000e+01
   2.0200000e+01   2.1745000e+01   2.2440000e+01   1.9545000e+01
   1.9655000e+01   1.9825000e+01   1.9165000e+01   1.8780000e+01
   2.1665000e+01   2.1620000e+01   1.9535000e+01   1.9625000e+01
   2.0790000e+01   1.9960000e+01   2.4065000e+01   1.9135000e+01
   2.7010000e+01   1.9030000e+01   2.4810000e+01   1.9620000e+01
   1.9910000e+01   2.1460000e+01   2.8000000e+01   2.4200000e+01
   2.2930000e+01   2.8000000e+01   1.8890000e+01   1.8830000e+01
   2.3430000e+01   1.8810000e+01   2.8000000e+01   1.9000000e+01
   2.1780000e+01   1.7700000e+01   2.5730000e+01   1.8440000e+01
   2.2290000e+01   2.8000000e+01   1.8660000e+01   1.8050000e+01
   2.5010000e+01   1.8640000e+01   2.6320000e+01   1.8860000e+01
   2.0690000e+01   2.1580000e+01   2.5140000e+01   2.3820000e+01
   2.4290000e+01   1.9290000e+01   2.8000000e+01   1.8640000e+01
   2.0320000e+01   2.1810000e+01   2.3210000e+01   2.3990000e+01
   2.3040000e+01   1.9370000e+01   2.3800000e+01   1.9000000e+01
   2.2080000e+01   2.2060000e+01   2.4620000e+01   2.2370000e+01
   2.2940000e+01   2.0360000e+01   2.4200000e+01   1.8210000e+01
   2.2060000e+01   2.1690000e+01   2.8000000e+01   2.8000000e+01
   2.0150000e+01   2.0790000e+01   2.8000000e+01   2.2810000e+01
   2.0780000e+01   2.8000000e+01   2.6210000e+01   2.5010000e+01
   2.2030000e+01   2.2570000e+01   2.3570000e+01   2.2390000e+01
   2.2050000e+01   1.9780000e+01   2.8000000e+01   2.1720000e+01
   2.1030000e+01   2.2130000e+01   2.8000000e+01   2.4470000e+01
   2.0470000e+01   2.2600000e+01   2.1210000e+01   2.2060000e+01
   2.2110000e+01   1.9220000e+01   2.2710000e+01   1.9640000e+01
   2.2630000e+01   2.8000000e+01   1.8880000e+01   2.0050000e+01
   2.2830000e+01   2.8000000e+01   1.8580000e+01   1.9720000e+01
   2.0750000e+01   1.9660000e+01   2.8000000e+01   2.4040000e+01
   2.2090000e+01   2.0760000e+01   2.1760000e+01   2.0970000e+01
   2.2190000e+01   1.8330000e+01   2.3740000e+01   2.0400000e+01
   2.0520000e+01   2.0200000e+01   2.8000000e+01   2.3780000e+01
   2.0830000e+01   2.3780000e+01   2.8000000e+01   2.8000000e+01
   2.0730000e+01   2.0940000e+01   2.4760000e+01   2.3530000e+01
   2.1990000e+01   2.1560000e+01   2.8000000e+01   2.8000000e+01
   2.2380000e+01   2.6550000e+01   2.8000000e+01   2.2780000e+01
   2.0740000e+01   2.8000000e+01   2.8000000e+01   2.4420000e+01
   2.1520000e+01   2.2470000e+01   2.5370000e+01   2.3120000e+01
   2.4040000e+01   2.8000000e+01   2.6860000e+01   2.4130000e+01
   2.0600000e+01   2.1750000e+01   2.8000000e+01   2.3710000e+01
   2.0490000e+01   2.1370000e+01   2.2730000e+01   2.2620000e+01
   2.0920000e+01   2.3100000e+01   2.4380000e+01   2.4490000e+01
   2.0020000e+01   2.0860000e+01   2.8000000e+01   2.5380000e+01
   2.0460000e+01   2.1090000e+01   2.5340000e+01   2.3140000e+01
   2.1880000e+01   2.8000000e+01   1.8000000e+01   1.9860000e+01
   2.2030000e+01   1.9090000e+01   2.5180000e+01   2.0850000e+01
   2.1590000e+01   1.9170000e+01   2.2370000e+01   2.0280000e+01
   2.2500000e+01   1.9120000e+01   2.3900000e+01   2.0010000e+01
   2.1400000e+01   2.3410000e+01   2.0940000e+01   2.2960000e+01
   2.0340000e+01   2.3030000e+01   2.1520000e+01   2.2060000e+01
   2.1260000e+01   2.2080000e+01   2.2600000e+01   2.4230000e+01
   2.0380000e+01   2.1070000e+01   2.8000000e+01   2.2380000e+01
   2.1760000e+01   2.1370000e+01   2.8000000e+01   2.5160000e+01
   2.1340000e+01   2.2210000e+01   2.8000000e+01   2.5520000e+01
   2.1540000e+01   1.9070000e+01   2.4440000e+01   2.2720000e+01
   2.0000000e+01   2.0890000e+01   2.4490000e+01   2.3320000e+01
   1.9930000e+01   2.1820000e+01   2.5240000e+01   2.0950000e+01
   2.4380000e+01   1.8250000e+01   2.3830000e+01   1.9730000e+01
   2.1230000e+01   2.0010000e+01   2.5820000e+01   2.0920000e+01
   2.4620000e+01   1.8580000e+01   2.3500000e+01   1.9670000e+01
   2.2660000e+01   1.8890000e+01   2.5140000e+01   1.9240000e+01
   1.9500000e+01   2.0410000e+01   2.6160000e+01   2.2650000e+01
   2.0540000e+01   2.4090000e+01   2.8000000e+01   2.3130000e+01
   2.1350000e+01   2.1630000e+01   2.5530000e+01   2.3460000e+01
   2.1150000e+01   2.0090000e+01   2.4640000e+01   2.4310000e+01
   2.0430000e+01   2.1360000e+01   2.3430000e+01   2.4990000e+01
   1.9090000e+01   2.0500000e+01   1.9510000e+01   2.1830000e+01
   1.9510000e+01   2.0930000e+01   2.0240000e+01   2.5580000e+01
   2.8000000e+01   1.9050000e+01   2.2590000e+01   2.0550000e+01
   2.2960000e+01   2.3570000e+01   2.6360000e+01   2.5440000e+01
   2.1350000e+01   2.8000000e+01   2.3930000e+01   2.3420000e+01
   2.1090000e+01   2.0130000e+01   2.8000000e+01   2.4730000e+01
   2.0980000e+01   2.4220000e+01   2.8000000e+01   2.3340000e+01
   2.2210000e+01   2.1540000e+01   2.4040000e+01   2.8000000e+01
   2.1140000e+01   2.0990000e+01   2.3450000e+01   2.1630000e+01
   2.0720000e+01   2.0370000e+01   2.8000000e+01   2.5730000e+01
   2.1280000e+01   2.2000000e+01   2.4370000e+01   2.4140000e+01
   2.0260000e+01   2.0370000e+01   2.0060000e+01   2.0080000e+01
   2.0960000e+01   2.8000000e+01   2.4850000e+01   2.5010000e+01
   2.0790000e+01   1.9640000e+01   2.4870000e+01   2.1870000e+01
   2.0690000e+01   2.2290000e+01   2.2730000e+01   2.2930000e+01
   2.1010000e+01   2.0910000e+01   2.4760000e+01   2.2500000e+01
   2.3040000e+01   1.8710000e+01   2.3580000e+01   1.8310000e+01
   2.0950000e+01   2.2240000e+01   2.8000000e+01   2.1850000e+01
   2.1470000e+01   2.4350000e+01   2.8000000e+01   2.3400000e+01
   2.1440000e+01   2.1940000e+01   2.3190000e+01   2.4080000e+01
   2.2410000e+01   1.8830000e+01   2.4770000e+01   1.8160000e+01
   2.8000000e+01   2.3300000e+01   1.9410000e+01   1.7990000e+01
   2.2730000e+01   2.3900000e+01   1.8940000e+01   1.8070000e+01
   2.6340000e+01   1.8790000e+01   2.3380000e+01   1.8370000e+01
   2.8000000e+01   1.8770000e+01   2.6290000e+01   1.9190000e+01
   2.8000000e+01   1.8540000e+01   2.8000000e+01   1.8070000e+01
   2.2840000e+01   2.1430000e+01   2.5220000e+01   2.0440000e+01
   1.9860000e+01   2.1260000e+01   2.4460000e+01   2.1210000e+01
   2.3120000e+01   1.8970000e+01   2.2600000e+01   1.8180000e+01
   2.1180000e+01   2.1430000e+01   2.5740000e+01   2.0610000e+01
   2.4280000e+01   2.0150000e+01   2.0210000e+01   1.8390000e+01
